"ID","Name","Description","Tag"
"Miquella","Ali Baba",,"Char"
"Malenia","Ali Baba's Wife",,"Char"
"Godwyn","Godwyn",,"Char"
"Trina","Mariana",,"Char"
"Tarnished1","That Tarnished",,"Char"
"Morgottfake","Morgottfake",,"Char"
"Boggart","Boggart",,"Char"
"Big_crab","Big Crab",,"Char"
"Crab_pot","Crab Pot",,"Char"
"Radahn","Radahn",,"Char"
"Mohg","Mohg",,"Char"
"Leonard","Leonard",,"Char"
"Miquella_doll","Baba Mustafa",,"Char"
"Trina_doll","Mariana",,"Char"
"Rabbit_leader","Chief of Thieves",,"Char"
"Rabbit_servant","Thief",,"Char"
"Lacrima","Qasim's Wife",,"Char"
"Miquella_kid","Ali Baba's Son",,"Char"
"Trina_kid","Abdallah",,"Char"
"Sun","Sun",,"Char"
"Moon","Moon",,"Char"
"Baby_butterfly","Nascent Butterfly",,"Char"
"Godrick","Qasim",,"Char"
