"ID","Text ID","Object","Animation","Type","Trigger","Property"
"event","","none","","music","start,all",""
"","","camera","blackout","cutscene","","timer:1,instant fade,wait,fade"
"","m8/1","Alibaba","Default","","","timer:5,hold,wait,voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba"
"","m8/2","Alibaba","Default","","","timer:8,hold,wait,voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba"
"","m8/3","Mariana","Default","","","timer:4,hold,wait,voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana"
"","m8/4","Alibaba","Default","","","timer:8,hold,wait,voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba"
"","","Mariana","Default","","","select:choice,choice_a:I accept. Because this is home.,choice_b:I was already family. But yes."
"","m8/A1","Mariana","Default","","yes","timer:5,hold,wait,voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana"
"","m8/B1","Mariana","Default","","no","timer:5,hold,wait,voice:(Parchment_write;3000;0),portrait:marianna_decisive,side:left,speaker:Marjana"
"","m8/C1","Alibaba","Default","","","timer:3,hold,wait,voice:(Parchment_write;3000;0),portrait:alibaba_grateful,side:right,speaker:Ali Baba"
"","m8/C2","Mariana","Default","","","timer:6,hold,wait,voice:(Parchment_write;3000;0),portrait:marianna_neutral,side:left,speaker:Marjana"
"","","camera","blackout","cutscene","","timer:2,no auto fade out,wait"
"","","game","","end","",""
